fips,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
30021,4119,2223,2439,2032,2194,2956,1686,1407,401
30023,3193,2465,2015,2180,2747,3403,2285,1375,705
30025,1281,535,615,613,537,789,428,329,183
30027,4180,1732,2194,2109,2516,3290,2564,1600,580
30029,42742,19121,22154,21952,23366,29043,20095,10808,4068
30031,36279,30713,26256,21253,19455,20876,13722,7126,3074
30033,347,150,200,133,191,203,222,124,48
30035,7859,3575,3328,2954,3057,3316,2017,1176,551
30037,234,79,80,100,174,250,142,106,31
30039,1004,448,372,504,649,969,858,475,195
30041,8525,4221,4215,3485,3482,4169,2783,1644,844
30043,4395,1964,1893,2151,2975,3639,2642,1185,479
30045,525,265,277,310,466,569,437,209,83
30047,12669,5342,5561,5530,6190,8171,6471,3525,1262
30049,28170,13888,15476,14472,16880,19873,13191,6361,3675
30051,768,534,412,396,530,537,371,283,189
30053,7213,3369,3396,3769,5054,7156,5861,2774,938
30055,602,250,325,242,334,457,311,259,99
30057,2373,1208,1482,1277,1627,2648,2207,1021,420
30059,761,283,361,337,382,550,439,182,121
30061,1554,825,459,833,946,1416,1239,630,107
30063,44656,36500,33538,26128,26034,28737,20545,10132,4903
30065,1996,854,734,851,1128,1648,1196,585,215
30067,6412,3022,3519,3837,4456,5265,3806,1922,871
30069,135,89,87,100,103,154,107,41,25
30071,1625,719,673,746,1000,1138,783,596,230
30073,2467,1198,1158,1186,1331,1534,1203,599,614
30075,440,311,268,280,349,503,333,226,129
30077,2214,1451,1559,1732,1884,2029,1550,845,372
30079,564,149,143,244,181,419,355,155,89
30081,17002,7605,7402,8524,10467,13611,11012,5574,2240
30083,5006,2391,2625,2515,2546,2912,1810,884,463
30085,6003,2657,2438,2109,2107,2251,1349,716,439
30087,4488,1730,1684,1703,1795,2270,1547,755,302
30089,3815,1823,1600,1952,2424,3783,3213,1692,408
30091,1413,588,796,552,701,1060,752,501,224
30093,15073,10908,8416,8109,9739,10845,7460,4494,1903
30095,3344,1384,1468,1788,2004,2679,2016,949,382
30097,1521,602,570,708,833,964,792,567,268
30099,2327,1162,1150,1008,1233,1435,1220,719,431
30101,2077,1405,1248,1249,1350,1688,1060,577,357
30103,261,162,117,97,160,265,142,69,47
30105,3158,1533,1429,1613,1605,2109,1495,1055,517
30107,856,425,362,377,337,525,486,195,148
30109,407,165,163,105,288,223,254,186,91
30111,70153,32045,40575,35254,36667,40838,28274,16037,8002
31001,14512,8278,6980,6054,7584,8067,5825,3434,1854
31003,2425,1027,1043,1006,1271,1626,1218,768,549
31005,201,86,41,83,84,84,65,60,9
31007,299,104,142,131,183,231,139,65,27
31009,214,96,75,99,124,131,88,77,11
31011,2110,1004,915,819,1152,1420,933,626,452
31013,5928,2343,2523,2607,2851,3551,2212,1362,697
31015,688,167,252,252,343,495,399,235,132
31017,995,330,539,510,574,753,589,429,244
31019,20356,15358,11941,9704,9325,10446,7186,4249,2198
31021,2289,914,981,989,1272,1538,1154,925,458
31023,3108,1334,1241,1397,1779,1909,1425,961,461
31025,10860,4358,4532,5339,6209,6571,4359,2527,1000
31027,3469,1463,1270,1394,1766,2025,1473,1124,600
31029,1861,662,718,815,835,1043,663,579,308
31031,2392,1076,1404,1284,1236,1765,1216,983,325
31033,4561,1799,2397,2044,2512,2537,1693,1286,645
31035,2422,1000,1065,1039,1283,1514,1132,638,341
31037,5680,2269,2425,2398,2174,2236,1496,916,476
31039,3789,1779,1469,1507,1841,2270,1566,1259,665
31041,4512,1990,1923,2089,2417,2699,2088,1386,689
31043,11161,4481,4893,4486,4532,4554,3395,1730,717
31045,3412,3929,1924,1757,1695,2206,1721,1278,614
31047,12239,5109,5605,5319,5307,5655,4045,2700,1145
31049,570,324,340,264,381,446,373,262,123
